user_id,username,tweet,retweet_count,mention_count,follower_count,verified,bot_label,location,created_at,hashtags,tweet_length,username_length,hashtag_count,has_hashtag,account_age_days
132131,flong,Station activity person against natural majority none few size expect six marriage.,85,1,2353,0,1,Adkinston,2020-05-11 15:29:50,,83,5,0,0,1114
289683,hinesstephanie,Authority research natural life material staff rate common protect attention.,55,5,9617,1,0,Sanderston,2022-11-26 05:18:10,both live,77,14,2,1,186
779715,roberttran,Manage whose quickly especially foot none to goal range case.,6,2,4363,1,0,Harrisonfurt,2022-08-08 03:16:54,phone ahead,61,10,2,1,296
696168,pmason,Just cover eight opportunity strong policy which.,54,5,2242,1,1,Martinezberg,2021-08-14 22:27:05,ever quickly new I,49,6,4,1,654
704441,noah87,Animal sign six data good or.,26,3,8438,0,1,Camachoville,2020-04-13 21:24:21,foreign mention,29,6,2,1,1142
570928,james00,See wonder travel this suffer less yard office man certainly.,41,4,3792,1,1,West Cheyenne,2023-05-07 22:24:47,anyone respond perhaps market run,61,7,5,1,23
734182,leonard00,Door final sound my guess building rich.,54,0,10,1,0,South Donald,2021-01-21 03:02:53,president,40,9,1,1,860
107312,lesterdaniel,Job phone price magazine worry stage check view.,64,0,1442,0,1,Smithhaven,2022-06-12 16:45:16,option husband admit,48,12,3,1,352
549888,kimberlymorris,Eye rest prove mission show floor.,25,2,836,0,0,Lake Brittanyville,2021-12-19 19:00:16,,34,14,0,0,527
117640,schmittjill,Add letter year performance western what culture large development fast.,67,3,6523,0,1,West Hannahborough,2022-07-30 05:39:16,available thing,72,11,2,1,305
576805,hicksanthony,Through both practice point fear billion deep.,57,4,8694,0,1,Harrisbury,2020-08-30 10:04:51,,46,12,0,0,1003
758550,hooperdennis,Wonder accept edge enjoy top organization technology happy.,29,1,5986,1,1,Rossmouth,2021-03-12 23:54:15,treat care eat author,59,12,4,1,809
383629,rcruz,Recognize nor choose over trade another involve.,60,2,6779,0,0,Juliehaven,2021-06-13 22:03:42,,48,5,0,0,716
850918,dstewart,Them relate question religious require popular.,61,0,6073,1,0,Port Jessicaborough,2023-05-13 20:43:12,upon all direction fly,47,8,4,1,17
675134,tracibell,Reality foreign land front PM trip him.,21,2,4846,0,0,Susanville,2020-11-16 23:10:39,course difficult fine,39,9,3,1,925
607798,juliesmith,Would mention respond because when break miss reflect name result garden dog.,78,1,2342,0,0,Griffithfort,2020-12-20 01:53:37,today question,77,10,2,1,892
946597,thomasbenjamin,Approach result civil age including author.,64,5,6947,0,1,Port Mia,2022-04-16 20:10:18,about tough interesting,43,14,3,1,409
212211,matthewbell,Word whose smile consider certainly magazine seat sign money age data.,43,4,7945,0,0,Charlesburgh,2022-12-02 16:48:04,every author,70,11,2,1,179
595841,frobinson,Range sell may science successful involve amount pressure.,39,0,8305,1,1,West Donnaview,2021-01-04 17:11:14,cost form foot year,58,9,4,1,876
295469,urobinson,Although assume remember local book perhaps.,8,2,1256,0,0,Maureenfort,2022-12-16 18:14:41,control health do fact,44,9,4,1,165
463487,hernandezchristian,Part admit the choice across some data edge again future exactly clearly bring.,26,4,653,1,1,Lake Jose,2020-04-20 11:42:06,,79,18,0,0,1135
343343,justindudley,Road politics item effect education will open others race personal car treat question.,84,4,5466,0,0,Lake Marvinshire,2020-02-28 22:31:34,,86,12,0,0,1187
631945,owright,Matter local us blue series produce consumer out long.,86,1,5131,1,1,Lake Nancyborough,2021-07-29 10:33:57,tough particularly their,54,7,3,1,670
926923,tbecker,Character agreement mention arrive where teach parent husband development trip peace sense.,55,0,5278,0,1,Lindamouth,2020-08-04 01:19:47,plant account,91,7,2,1,1030
127337,nthompson,Capital can wind something must nearly.,56,1,3347,1,1,Port Morganshire,2020-08-04 23:36:10,wonder purpose,39,9,2,1,1029
580954,monique95,For two pattern beat president able suffer later field specific table.,43,2,4851,0,0,East Erin,2020-06-15 00:29:43,account position foot,70,9,3,1,1080
432390,berryemily,Strategy should green improve bar require hope Mr fall.,49,5,7600,0,1,Bakerberg,2021-07-04 03:50:07,,55,10,0,0,696
131479,thomas43,Husband discover he continue security fish stand pass quickly.,7,0,706,0,1,North Heidihaven,2020-09-08 21:46:14,,62,8,0,0,994
811404,bryan62,Paper black food reach model science ready.,75,1,7313,1,1,Port Jennifer,2020-05-22 02:10:18,able have that especially,43,7,4,1,1104
138974,owensbenjamin,Race sometimes argue him difference fall.,39,0,337,0,1,Franciscoton,2021-07-11 02:30:21,effort situation others different sort,41,13,5,1,689
267991,jwu,Man me seat group thought read lead thank hundred.,77,1,7006,0,0,North Josephville,2020-01-07 05:29:42,small knowledge,50,3,2,1,1240
688953,craigmiller,Far forget sport nation admit myself series right this minute.,40,2,697,1,0,Port Melanie,2021-10-17 00:06:59,mission owner know budget reason,62,11,5,1,591
391036,amysmith,Network see record second management thank management.,25,5,4517,1,0,Russellville,2022-04-16 02:57:56,difficult significant at take difficult,54,8,5,1,410
194223,jacobscarla,Treatment wrong pattern serious ask order since.,15,2,1785,1,0,South Heather,2020-03-22 00:35:22,sense,48,11,1,1,1165
238448,xzimmerman,International station specific indeed laugh trial spring later store federal sing gun.,85,0,4057,1,1,West Peterview,2022-05-02 16:57:25,sell officer rate board front,86,10,5,1,393
381356,xbaker,Message mission rate power visit nothing author determine need lose defense partner.,13,0,7925,0,0,Rochaville,2021-02-24 12:48:06,before enter cover gun,84,6,4,1,825
387922,karenlopez,In change eat true miss interest vote cause attack.,63,4,2804,1,1,North Jasonfurt,2020-11-19 07:54:29,series instead behind,51,10,3,1,922
150095,hannahross,Natural draw letter also near true so.,75,4,3544,1,1,Brianmouth,2020-09-09 03:29:52,response learn design energy,38,10,4,1,994
344916,dschultz,System wait coach return through blue security future hit fall.,58,1,2063,0,0,Jacobsstad,2021-02-02 02:01:06,,63,8,0,0,848
558415,jessica19,Nice federal education key partner machine whose leader type consumer protect.,34,5,466,0,0,Rodriguezstad,2022-01-04 06:09:53,sell begin,78,9,2,1,512
725104,julieflynn,Early source play computer simple fire day way reveal traditional pay.,66,1,2852,0,1,Schultzborough,2021-07-22 11:15:27,former impact above,70,10,3,1,677
814899,garciavickie,Medical now even gun under find moment science.,18,0,3782,1,0,Kingfort,2021-04-04 02:37:17,most model,47,12,2,1,787
187298,shepherdmichael,Stock concern here wind over course soon view part need.,0,3,4581,0,0,Port Laurenfurt,2023-05-15 08:49:57,mind,56,15,1,1,15
763755,eric75,Sing star rather test data improve.,21,3,6979,0,0,New Mary,2021-10-02 07:21:33,sometimes live,35,6,2,1,606
593693,kgarcia,Natural carry that compare energy establish.,7,3,7523,1,0,Mitchellmouth,2022-02-08 11:17:57,nature,44,7,1,1,476
388689,cgilbert,Report be cold box different itself camera new note hard accept bad.,39,0,3755,0,0,Hartfurt,2021-11-05 12:31:02,green,68,8,1,1,571
233166,bettymorton,Town when may class kitchen those.,34,4,6933,0,0,Tannermouth,2022-06-02 14:01:49,story teacher late,34,11,3,1,362
460341,oharvey,Though religious game although who source dream.,72,0,8386,0,1,Port Brentshire,2021-11-17 04:13:48,,48,7,0,0,560
180001,miranda16,Policy arrive again room source thing.,24,5,4096,0,1,Nguyenside,2022-08-12 18:01:20,land discover,38,9,2,1,291
635556,wheelerlarry,Lawyer his middle section last site training play.,77,0,7967,0,1,North Jamieshire,2022-06-06 23:18:37,find determine budget sure,50,12,4,1,358
522978,lukewiley,Reality behavior hair relate might will onto against development positive appear second.,87,5,5785,1,0,East Leslieport,2020-03-03 12:27:50,parent old medical,88,9,3,1,1183
200604,reginaldsmith,Great brother daughter subject population already.,44,1,7504,1,0,West Crystal,2021-10-01 22:42:40,treatment,50,13,1,1,606
105383,michaelpetty,At ok tend political population hot that natural box discover perhaps.,46,4,7074,0,0,East Carol,2020-02-19 15:56:20,as center,70,12,2,1,1196
744296,mhernandez,Pretty country many foreign market west science answer both process.,44,4,1910,0,1,West Heatherport,2023-02-07 01:46:43,on machine land,68,10,3,1,113
332454,zimmermanashley,Try than seat paper doctor law employee take material almost want his indeed.,10,4,415,1,0,Ambermouth,2020-11-24 00:59:40,just drug,77,15,2,1,918
281416,natalierichards,Within new whether research family effect.,23,4,6001,1,0,Lake Jill,2020-03-07 10:07:48,,42,15,0,0,1179
552441,reginald50,Six town until discuss floor course.,28,3,1723,0,1,Smallborough,2021-01-26 14:57:11,eye entire high hundred,36,10,4,1,854
950576,garciacynthia,Same current political anyone network such face.,43,1,2461,0,0,North Donaldfurt,2022-12-09 02:17:39,truth,48,13,1,1,173
608641,traceymiller,Soldier poor source provide sea weight where mention key house class example number.,3,1,5049,1,1,North Davidberg,2022-03-07 21:38:17,idea size,84,12,2,1,449
835839,shawn46,Indeed official family at interview onto buy manager attack.,86,5,1385,1,1,Lake Amanda,2022-07-25 23:21:44,open unit both accept perhaps,60,7,5,1,309
593237,wallsdouglas,Short return change politics modern race create they still spring.,8,2,7760,1,0,West Paul,2020-01-24 14:13:47,just however arm owner here,66,12,5,1,1222
107084,schultzbrian,Experience science sit research clearly us check worry man young Mr cut manage.,71,2,1639,0,1,Jenniferport,2020-07-24 14:58:49,apply education by kitchen beat,79,12,5,1,1040
303633,debrafreeman,Able truth whole across forward should audience purpose bad particular country leg talk.,89,1,2309,0,1,Port Sara,2020-11-11 06:56:36,wind must benefit,88,12,3,1,931
598545,thernandez,Film lay particular society speech ahead stuff.,10,0,51,1,0,Lake Barbarafort,2021-07-09 00:36:27,,47,10,0,0,691
469564,bryan86,Will agency analysis buy player they Mrs evidence standard for beyond.,59,5,1918,1,1,South Michaelport,2023-03-22 21:33:21,even,70,7,1,1,69
913533,mary85,Make southern visit sometimes loss child lay believe.,97,2,3028,1,0,North Katiemouth,2023-02-27 14:45:49,,53,6,0,0,92
301182,alexis83,Way room somebody building check long fast art fund.,70,5,2560,0,0,Julieland,2020-05-03 06:53:02,administration forget system organization,52,8,4,1,1123
455069,keithhicks,Majority term growth computer ever each summer check wear for else win nice.,88,4,4914,0,0,New Danielle,2021-06-11 18:57:09,,76,10,0,0,718
786663,marissa17,Bar industry long live politics money ok.,6,0,4710,0,1,Port Lauratown,2021-08-16 23:59:27,beyond,41,9,1,1,652
788887,tbarker,Because way about adult attention decade operation fight.,25,5,3056,0,0,Louiston,2020-10-02 10:53:52,yard fine,57,7,2,1,970
172922,jeffery61,Consumer open structure central huge west second word people interview.,69,1,7828,0,0,Brittneychester,2021-02-21 01:44:54,increase,71,9,1,1,829
